filepath,label,class
bird_data/0 - BALTIMORE ORIOLE/0_100.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_101.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_102.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_103.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_104.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_105.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_106.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_107.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_108.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_109.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_110.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_111.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_112.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_113.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_114.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_115.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_116.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_117.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_118.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_119.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_120.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_121.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_122.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_123.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_124.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_125.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_126.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_127.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_128.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_129.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_130.jpg,0,BALTIMORE ORIOLE
bird_data/0 - BALTIMORE ORIOLE/0_131.jpg,0,BALTIMORE ORIOLE
